,,,,Availability and Vacancy Rate,,,,,,,,,,,,
2017-09-30,64,2.70%,"$1,877,498,045",7.61%,6.25%,"17,257,734",78.70%,$35.65,$35.43,93.75%,5.67%,$30.71,10.6,8.3,8.5,"105,383"
2017-06-30,73,3.10%,"$1,048,471,573",8.15%,6.14%,"16,932,202",84.57%,$35.43,$35.14,93.86%,6.19%,$31.17,10.8,9.1,9.5,"1,165,952"
2017-03-31,43,1.80%,"$410,867,388",8.31%,6.20%,"17,032,560",54.53%,$35.14,$34.47,93.80%,4.79%,$31.04,11.3,8,9.1,"991,131"
2016-12-31,70,3.00%,"$299,704,899",8.21%,6.32%,"17,318,368",97.88%,$34.47,$33.62,93.68%,1.82%,$30.70,11.3,8.6,10.1,"1,436,168"
2016-09-30,85,3.60%,"$1,308,661,489",8.13%,6.48%,"17,692,959",95.28%,$33.62,$33.53,93.52%,2.39%,$32.01,12.2,9.1,11.1,"216,449"
2016-06-30,59,2.50%,"$145,631,257",8.80%,6.43%,"17,557,234",31.16%,$33.53,$33.10,93.57%,1.11%,$31.83,12.7,10.3,11.7,"1,398,510"
2016-03-31,49,2.10%,"$261,371,490",9.36%,6.79%,"18,498,659",33.75%,$33.10,$32.90,93.21%,1.01%,$32.26,12.4,10.3,13.6,"1,964,581"
2015-12-31,54,2.30%,"$530,131,258",9.20%,6.95%,"18,837,955",63.29%,$32.90,$33.02,93.05%,2.66%,$32.06,12.3,10.4,11.6,"74,534"
2015-09-30,58,2.50%,"$341,968,063",9.22%,6.93%,"18,781,818",67.46%,$33.02,$32.75,93.07%,3.58%,$32.02,13.2,9.7,11,"901,706"
2015-06-30,42,1.80%,"$243,806,636",9.82%,6.95%,"18,752,763",16.03%,$32.75,$32.73,93.05%,5.18%,$32.20,12.9,10.4,12.1,"155,244"
2015-03-31,47,2.00%,"$354,481,699",9.62%,6.84%,"18,440,475",43.01%,$32.73,$32.57,93.16%,5.77%,$32.74,13,11.2,13,"658,371"
2014-12-31,43,1.80%,"$656,979,716",9.63%,6.71%,"18,039,470",53.77%,$32.57,$32.16,93.29%,5.78%,$32.33,13.4,11.2,13.7,"1,449,402"
2014-09-30,43,1.80%,"$662,255,630",9.55%,6.48%,"17,278,184",83.29%,$32.16,$31.62,93.52%,4.87%,$32.06,12.5,9.6,10,"692,711"
2014-06-30,43,1.80%,"$221,653,094",9.35%,6.52%,"17,330,434",31.66%,$31.62,$31.12,93.48%,3.06%,$31.76,11.2,8.6,9.4,"160,559"
2014-03-31,72,3.10%,"$409,052,945",9.75%,6.52%,"17,322,800",99.55%,$31.12,$30.79,93.48%,0,$31.62,9.6,8.3,9.1,"7,593"
2013-12-31,60,2.60%,"$504,202,045",9.81%,6.53%,"17,351,423",50.39%,$30.79,$30.41,93.47%,0,$31.90,8.4,7.1,8.1,"2,031,040"
2013-09-30,81,3.50%,"$128,753,762",10.69%,6.88%,"18,210,947",87.88%,$30.41,$30.15,93.12%,0,$31.72,6.8,5.7,7,"630,385"
2013-06-30,84,3.60%,"$1,288,347,299",11.79%,6.94%,"18,317,674",0,$30.15,$30.19,93.06%,0,$31.58,5.4,4.1,5.2,"174,207"
2013-03-31,43,1.80%,"$80,604,508",11.64%,8.07%,"328,626",0,$30.19,0,91.93%,0,$28.91,3.7,2.2,2.9,0
2012-12-31,24,1.00%,"$1,002,317,373",0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-30,32,1.40%,"$628,663,895",0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-30,42,1.80%,"$1,501,093,561",0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-31,45,1.90%,"$766,682,820",0,0,0,0,0,0,0,0,0,0,0,0,0
